SOCIETY_NAME,location,BEDROOM_NUM,BALCONY_NUM,AREA,AGE,FURNISH,amenity_luxury,FLOOR_NUM,PRICE
932.0,274.0,3.0,1.0,1250,2.0,3.0,2.0,1.0,0.45
918.0,227.0,4.0,2.0,1980,2.0,3.0,2.0,1.0,1.41
918.0,227.0,3.0,1.0,1740,2.0,3.0,2.0,1.0,1.24
1483.0,334.0,2.0,1.0,925,3.0,0.0,0.0,0.0,0.58
95.0,283.0,4.0,2.0,3029,2.0,3.0,2.0,1.0,3.63
95.0,283.0,2.0,1.0,1244,2.0,3.0,2.0,1.0,1.3
95.0,283.0,1.0,1.0,923,2.0,3.0,2.0,1.0,1.11
356.0,36.0,3.0,2.0,1600,1.0,2.0,1.0,2.0,0.7
1679.0,63.0,3.0,0.0,1200,2.0,2.0,0.0,1.0,0.65
959.0,269.0,3.0,1.0,1050,0.0,0.0,2.0,1.0,0.35
1102.0,15.0,2.0,2.0,1400,0.0,1.0,2.0,1.0,1.35
1580.0,283.0,4.0,2.0,2581,2.0,3.0,2.0,1.0,3.0
1580.0,283.0,3.0,1.0,1815,2.0,3.0,2.0,1.0,2.3
1027.0,92.0,4.0,2.0,1850,2.0,3.0,2.0,1.0,1.36
1027.0,92.0,3.0,1.0,1240,2.0,3.0,2.0,1.0,0.98
1028.0,283.0,4.0,2.0,2350,2.0,3.0,2.0,1.0,1.74
1028.0,283.0,3.0,1.0,1550,2.0,3.0,2.0,1.0,1.15
1795.0,334.0,3.0,1.0,763,2.0,3.0,2.0,1.0,0.65
1795.0,334.0,2.0,1.0,588,2.0,3.0,2.0,1.0,0.51
1800.0,334.0,3.0,1.0,1083,2.0,3.0,2.0,1.0,0.71
1800.0,334.0,2.0,1.0,800,2.0,3.0,2.0,1.0,0.47
1260.0,283.0,3.0,1.0,1185,2.0,3.0,2.0,1.0,0.75
1260.0,283.0,2.0,1.0,954,2.0,3.0,2.0,1.0,0.58
530.0,394.0,3.0,1.0,1359,3.0,2.0,0.0,2.0,0.75
1482.0,334.0,4.0,2.0,2760,2.0,3.0,2.0,1.0,2.01
835.0,92.0,2.0,1.0,732,2.0,3.0,2.0,1.0,0.64
251.0,141.0,3.0,1.0,1000,2.0,3.0,2.0,1.0,0.45
828.0,283.0,1.0,1.0,490,2.0,3.0,2.0,1.0,0.37
44.0,283.0,3.0,1.0,1445,2.0,3.0,2.0,1.0,0.75
834.0,334.0,3.0,1.0,746,2.0,3.0,2.0,1.0,0.56
553.0,182.0,3.0,2.0,1176,3.0,1.0,1.0,1.0,0.4
1724.0,334.0,3.0,1.0,1400,2.0,2.0,0.0,1.0,0.69
1800.0,334.0,3.0,1.0,1083,2.0,3.0,2.0,1.0,0.71
1800.0,334.0,2.0,1.0,800,2.0,3.0,2.0,1.0,0.52
1260.0,283.0,3.0,1.0,1185,2.0,3.0,2.0,1.0,0.75
1260.0,283.0,2.0,1.0,954,2.0,3.0,2.0,1.0,0.58
834.0,334.0,3.0,1.0,746,2.0,3.0,2.0,1.0,0.56
834.0,334.0,2.0,1.0,615,2.0,3.0,2.0,1.0,0.44
1722.0,237.0,3.0,1.0,1307,2.0,3.0,2.0,1.0,0.67
