PROP_ID,PROPERTY_TYPE,SOCIETY_NAME,location,BEDROOM_NUM,BALCONY_NUM,AREA,Price_per_sqft,PRICE,AGE,FURNISH,amenity_luxury,FLOOR_NUM,TOTAL_FLOOR
P71010500,flat,On request,Jadavpur,2.0,1.0,740,3918.0,0.29,New Property,Fully furnished,108.0,0,3.0
M70279152,flat,"Anudip skylark, gariahat",Ballygunge,3.0,1.0,2326,12897.0,3.0,Relatively New Property,Fully furnished,376.0,2,4.0
Y70400418,flat,Progressive classic,Em Bypass,2.0,1.0,836,5598.0,0.47,Relatively New Property,Fully furnished,484.0,1,4.0
C68583532,flat,Eden sunflower,Em Bypass,2.0,1.0,850,4588.0,0.39,New Property,Fully furnished,241.0,1,3.0
Q70095858,flat,Golf garden 900,Golf Garden,2.0,1.0,900,7222.0,0.65,Moderately Old,Luxury furnished,481.0,4,4.0
L71005900,flat,Gita construction,Kalyani,3.0,1.0,1100,3000.0,0.33,Old Property,Unfurnished,153.0,2,5.0
W70539044,flat,Bengal shapoorji shukhobristhi,New Town,3.0,1.0,690,6666.0,0.46,Relatively New Property,Fully furnished,278.0,10,14.0
S71243282,flat,Unknown,Nona Chandanpukur,2.0,1.0,800,4500.0,0.27,Moderately Old,Fully furnished,445.0,2,3.0
O70930328,flat,Siddha waterfront,Khardah,2.0,1.0,824,3883.0,0.32,Old Property,Unfurnished,246.0,9,13.0
M70399626,flat,Skylink apparmtent,Hindmotor,3.0,1.0,1250,2720.0,0.34,Old Property,Fully furnished,284.0,1,4.0
